id,field,path,path_rad,path_model,beam_pa,beam_maj,beam_min,center_x,center_y,Distance,Rmax_frank,B8_Flux,isbinary,rms_data,rms_model_profile,Class,Features,R_zoom,rms_model_percentage,Stage,Group
0,iso-oph_123,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_123_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_123_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_123_frank_model.fits,-88.46908,0.06534,0.05455,16:27:17.5744,-24:05:14.300,136.58,0.5,28.9,0,0.00038,4003099394.32577,II,Smooth,0.25,0.088586566170015,0,0+II
1,iso-oph_13,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_13_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_13_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_13_frank_model.fits,86.27869,0.06455,0.05194,16:26:07.032,-24:27:24.800,139.4,0.5,25.1,0,0.00039,4367702778.83606,II,Smooth,0.3,0.147875632051979,0,0+II
2,iso-oph_193,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_193_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_193_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_193_frank_model.fits,-86.48737,0.06742,0.0551,16:28:12.713,-24:11:36.340,151.74,0.5,11.57,0,0.00047,4750553056.10056,II,Smooth,0.25,0.051123363461826,0,0+II
3,iso-oph_208,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_208_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_208_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_208_frank_model.fits,77.19341,0.06774,0.05403,16:31:59.319,-24:54:41.140,152.16,0.5,57.1,0,0.00037,3795842867.97542,II,Gap,0.5,0.04475803463792,2,2+II
4,odisea_c4_001,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_001_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_001_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_001_frank_model.fits,79.52281,0.0649,0.05259,16:21:31.918,-23:01:40.890,137.0,0.5,12.8,0,0.00047,5170548929.41053,II,Smooth,0.5,0.168533174272956,0,0+II
5,odisea_c4_007,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_007_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_007_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_007_frank_model.fits,79.23988,0.06527,0.05292,16:22:24.951,-23:29:55.550,138.33,0.5,40.6,0,0.00041,4456942902.77622,II,Smooth,0.25,0.051239551320193,0,0+II
6,odisea_c4_009,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_009_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_009_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_009_frank_model.fits,79.9478,0.06323,0.05163,16:23:05.416,-23:02:57.610,139.4,0.5,17.7,0,0.00047,5405790528.48075,I_F,Smooth,0.3,0.072089702423666,0,0+I_F
7,odisea_c4_016a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_016A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016A_frank_model.fits,83.70428,0.06517,0.05202,16:25:02.115,-24:59:32.952,142.04,0.5,35.1,1,0.00027,2990421161.06375,II,Cavity,0.25,0.098998998669164,4,4+II
8,odisea_c4_016b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_016B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016B_frank_model.fits,83.44037,0.06613,0.05255,16:25:02.008,-24:59:33.180,142.04,0.25,23.7,1,0.00026,2809239503.51781,II,Cavity,0.25,0.058617909872863,4,4+II
9,odisea_c4_017,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_017_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_017_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_017_frank_model.fits,86.65923,0.06426,0.05185,16:25:06.905,-23:50:50.970,144.45,0.5,14.4,0,0.00048,5409266984.2387,II,Smooth,0.25,0.092025811648364,0,0+II
